national_number,gen,pokemon_name,primary_type,secondary_type,classification,height_m,weight_kg,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,is_sublegendary,is_legendary,is_mythical,evochain_1,evochain_2,evochain_3,evochain_4,mega_evolution,description,image
472,IV,Gliscor,ground,flying,Fang Scorp Pokémon,2,42.5,75,95,125,45,75,95,Hyper Cutter,Sand Veil,0,0,0,Gligar,Gliscor,,,,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!",
473,IV,Mamoswine,ice,ground,Twin Tusk Pokémon,2.5,291,110,130,80,70,60,80,Oblivious,Snow Cloak,0,0,0,Swinub,Piloswine,,,,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct.",
474,IV,Porygon-Z,normal,,Virtual Pokémon,0.9,34,85,80,70,135,75,90,Adaptability,Download,0,0,0,Porygon,Porygon2,Porygon-Z,,,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior.",
475,IV,Gallade,psychic,fighting,Blade Pokémon,1.6,52,68,125,65,65,115,80,Steadfast,,0,0,0,Ralts,Kirlia,Gallade,,Mega Gallade,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone.",
476,IV,Probopass,rock,steel,Compass Pokémon,1.4,340,60,55,145,75,150,40,Sturdy,Magnet Pull,0,0,0,Nosepass,Probopass,,,,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back.",
477,IV,Dusknoir,ghost,,Gripper Pokémon,2.2,106.6,45,100,135,65,135,45,Pressure,,0,0,0,Duskull,Dusclops,Dusknoir,,,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own.",
478,IV,Froslass,ice,ghost,Snow Land Pokémon,1.3,26.6,70,80,70,80,70,110,Snow Cloak,,0,0,0,Snorunt,Glalie,Froslass,,,"After a woman met her end on a snowy mountain, her regrets lingered on. From them, this Pokémon was born. Its favorite food is frozen souls.",
479,IV,Rotom,electric,ghost,Plasma Pokémon,0.3,0.3,50,50,77,95,77,91,Levitate,,0,0,0,Rotom,,,,,One boy’s invention led to the development of many different machines that take advantage of Rotom’s unique capabilities.,
480,IV,Uxie,psychic,,Knowledge Pokémon,0.3,0.3,75,75,130,75,130,95,Levitate,,1,0,0,Uxie,,,,,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.,
481,IV,Mesprit,psychic,,Emotion Pokémon,0.3,0.3,80,105,105,105,105,80,Levitate,,1,0,0,Mesprit,,,,,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy.",
482,IV,Azelf,psychic,,Willpower Pokémon,0.3,0.3,75,125,70,125,70,115,Levitate,,1,0,0,Azelf,,,,,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,
483,IV,Dialga,steel,dragon,Temporal Pokémon,5.4,683,100,120,120,150,100,90,Pressure,,0,1,0,Dialga,,,,,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.,
484,IV,Palkia,water,dragon,Spatial Pokémon,4.2,336,90,120,100,150,120,100,Pressure,,0,1,0,Palkia,,,,,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.,
485,IV,Heatran,fire,steel,Lava Dome Pokémon,1.7,430,91,90,106,130,106,77,Flash Fire,,1,0,0,Heatran,,,,,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.,
486,IV,Regigigas,normal,,Colossal Pokémon,3.7,420,110,160,110,80,110,100,Slow Start,,1,0,0,Regigigas,,,,,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma.",
487,IV,Giratina,ghost,dragon,Renegade Pokémon,4.5,750,150,100,120,100,120,90,Pressure,Levitate (Origin Forme),0,1,0,Giratina,,,,,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange.",
488,IV,Cresselia,psychic,,Lunar Pokémon,1.5,85.6,120,70,120,75,130,85,Levitate,,1,0,0,Cresselia,,,,,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,
489,IV,Phione,water,,Sea Drifter Pokémon,0.4,3.1,80,80,80,80,80,80,Hydration,,0,0,1,Phione,Manaphy,,,,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs.",
490,IV,Manaphy,water,,Seafaring Pokémon,0.3,1.4,100,100,100,100,100,100,Hydration,,0,0,1,Phione,Manaphy,,,,It is born with a wondrous power that lets it bond with any kind of Pokémon.,
491,IV,Darkrai,dark,,Pitch-Black Pokémon,1.5,50.5,70,90,90,135,90,125,Bad Dreams,,0,0,1,Darkrai,,,,,"It chases people and Pokémon from its territory by causing them to experience deep, nightmarish slumbers.",
492,IV,Shaymin,grass,grass,Gratitude Pokémon,0.2,2.1,100,100,100,100,100,100,Natural Cure (Land Forme),Serene Grace (Sky Forme),0,0,1,Shaymin,,,,,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.,
493,IV,Arceus,normal,,Alpha Pokémon,3.2,320,120,120,120,120,120,120,Multitype,,0,0,1,Arceus,,,,,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world.",
494,V,Victini,psychic,fire,Victory Pokémon,0.4,4,100,100,100,100,100,100,Victory Star,,0,0,1,Victini,,,,,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.",
495,V,Snivy,grass,,Grass Snake Pokémon,0.6,8.1,45,45,55,45,55,63,Overgrow,,0,0,0,Snivy,Servine,Serperior,,,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,
496,V,Servine,grass,,Grass Snake Pokémon,0.8,16,60,60,75,60,75,83,Overgrow,,0,0,0,Snivy,Servine,Serperior,,,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",
497,V,Serperior,grass,,Regal Pokémon,3.3,63,75,75,95,75,95,113,Overgrow,,0,0,0,Snivy,Servine,Serperior,,,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,
498,V,Tepig,fire,,Fire Pig Pokémon,0.5,9.9,65,63,45,45,45,45,Blaze,,0,0,0,Tepig,Pignite,Emboar,,,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.,
499,V,Pignite,fire,fighting,Fire Pig Pokémon,1,55.5,90,93,55,70,55,55,Blaze,,0,0,0,Tepig,Pignite,Emboar,,,"The more it eats, the more fuel it has to make the fire in its stomach stronger. This fills it with even more power.",
500,V,Emboar,fire,fighting,Mega Fire Pig Pokémon,1.6,150,110,123,65,100,65,65,Blaze,,0,0,0,Tepig,Pignite,Emboar,,,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.,
501,V,Oshawott,water,,Sea Otter Pokémon,0.5,5.9,55,55,45,63,45,45,Torrent,,0,0,0,Oshawott,Dewott,Samurott,,,The scalchop on its stomach isn’t just used for battle—it can be used to break open hard berries as well.,
502,V,Dewott,water,,Discipline Pokémon,0.8,24.5,75,75,60,83,60,60,Torrent,,0,0,0,Oshawott,Dewott,Samurott,,,Strict training is how it learns its flowing double-scalchop technique.,
503,V,Samurott,water,,Formidable Pokémon,1.5,94.6,95,100,85,108,70,70,Torrent,,0,0,0,Oshawott,Dewott,Samurott,,,"In the time it takes a foe to blink, it can draw and sheathe the seamitars attached to its front legs.",
504,V,Patrat,normal,,Scout Pokémon,0.5,11.6,45,55,39,35,39,42,Run Away,Keen Eye,0,0,0,Patrat,Watchog,,,,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others.",
505,V,Watchog,normal,,Lookout Pokémon,1.1,27,60,85,69,60,69,77,Illuminate,Keen Eye,0,0,0,Patrat,Watchog,,,,"Using luminescent matter, it makes its eyes and body glow and stuns attacking opponents.",
506,V,Lillipup,normal,,Puppy Pokémon,0.4,4.1,45,60,45,25,45,55,Vital Spirit,Pickup,0,0,0,Lillipup,Herdier,Stoutland,,,This Pokémon is courageous but also cautious. It uses the soft fur covering its face to collect information about its surroundings.,
507,V,Herdier,normal,,Loyal Dog Pokémon,0.9,14.7,65,80,65,35,65,60,Intimidate,Sand Rush,0,0,0,Lillipup,Herdier,Stoutland,,,Herdier is a very smart and friendly Pokémon. So much so that there’s a theory that Herdier was the first Pokémon to partner with people.,
508,V,Stoutland,normal,,Big-Hearted Pokémon,1.2,61,85,110,90,45,90,80,Intimidate,Sand Rush,0,0,0,Lillipup,Herdier,Stoutland,,,These Pokémon seem to enjoy living with humans. Even a Stoutland caught in the wild will warm up to people in about three days.,
509,V,Purrloin,dark,,Devious Pokémon,0.4,10.1,41,50,37,50,37,66,Limber,Unburden,0,0,0,Purrloin,Liepard,,,,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.,
510,V,Liepard,dark,,Cruel Pokémon,1.1,37.5,64,88,50,88,50,106,Limber,Unburden,0,0,0,Purrloin,Liepard,,,,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.,
511,V,Pansage,grass,,Grass Monkey Pokémon,0.6,10.5,50,53,48,53,48,64,Gluttony,,0,0,0,Pansage,Simisage,,,,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.,
512,V,Simisage,grass,,Thorn Monkey Pokémon,1.1,30.5,75,98,63,98,63,101,Gluttony,,0,0,0,Pansage,Simisage,,,,It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.,
513,V,Pansear,fire,,High Temp Pokémon,0.6,11,50,53,48,53,48,64,Gluttony,,0,0,0,Pansear,Simisear,,,,"Very intelligent, it roasts berries before eating them. It likes to help people.",
514,V,Simisear,fire,,Ember Pokémon,1,28,75,98,63,98,63,101,Gluttony,,0,0,0,Pansear,Simisear,,,,A flame burns inside its body. It scatters embers from its head and tail to sear its opponents.,
515,V,Panpour,water,,Spray Pokémon,0.6,13.5,50,53,48,53,48,64,Gluttony,,0,0,0,Panpour,Simipour,,,,The water stored inside the tuft on its head is full of nutrients. It waters plants with it using its tail.,
516,V,Simipour,water,,Geyser Pokémon,1,29,75,98,63,98,63,101,Gluttony,,0,0,0,Panpour,Simipour,,,,"The high-pressure water expelled from its tail is so powerful, it can destroy a concrete wall.",
517,V,Munna,psychic,,Dream Eater Pokémon,0.6,23.3,76,25,45,67,55,24,Forewarn,Synchronize,0,0,0,Munna,Musharna,,,,"Late at night, it appears beside people’s pillows. As it feeds on dreams, the patterns on its body give off a faint glow.",
518,V,Musharna,psychic,,Drowsing Pokémon,1.1,60.5,116,55,85,107,95,29,Forewarn,Synchronize,0,0,0,Munna,Musharna,,,,"When dark mists emanate from its body, don’t get too near. If you do, your nightmares will become reality.",
519,V,Pidove,normal,flying,Tiny Pigeon Pokémon,0.3,2.1,50,55,50,36,30,43,Big Pecks,Super Luck,0,0,0,Pidove,Tranquill,Unfezant,,,"Where people go, these Pokémon follow. If you’re scattering food for them, be careful—several hundred of them can gather at once.",
520,V,Tranquill,normal,flying,Wild Pigeon Pokémon,0.6,15,62,77,62,50,42,65,Big Pecks,Super Luck,0,0,0,Pidove,Tranquill,Unfezant,,,"It can fly moderately quickly. No matter how far it travels, it can always find its way back to its master and its nest.",
521,V,Unfezant,normal,flying,Proud Pokémon,1.2,29,80,115,80,65,55,93,Big Pecks,Super Luck,0,0,0,Pidove,Tranquill,Unfezant,,,"Unfezant are exceptional fliers. The females are known for their stamina, while the males outclass them in terms of speed.",
522,V,Blitzle,electric,,Electrified Pokémon,0.8,29.8,45,60,32,50,32,76,Lightning Rod,Motor Drive,0,0,0,Blitzle,Zebstrika,,,,"When thunderclouds cover the sky, it will appear. It can catch lightning with its mane and store the electricity.",
523,V,Zebstrika,electric,,Thunderbolt Pokémon,1.6,79.5,75,100,63,80,63,116,Lightning Rod,Motor Drive,0,0,0,Blitzle,Zebstrika,,,,"When this ill-tempered Pokémon runs wild, it shoots lightning from its mane in all directions.",
524,V,Roggenrola,rock,,Mantle Pokémon,0.4,18,55,75,85,25,25,15,Sturdy,Weak Armor,0,0,0,Roggenrola,Boldore,Gigalith,,,"It’s as hard as steel, but apparently a long soak in water will cause it to soften a bit.",
525,V,Boldore,rock,,Ore Pokémon,0.9,102,70,105,105,50,40,20,Sturdy,Weak Armor,0,0,0,Roggenrola,Boldore,Gigalith,,,"If you see its orange crystals start to glow, be wary. It’s about to fire off bursts of energy.",
526,V,Gigalith,rock,,Compressed Pokémon,1.7,260,85,135,130,60,80,25,Sturdy,Sand Stream,0,0,0,Roggenrola,Boldore,Gigalith,,,"This hardy Pokémon can often be found on construction sites and in mines, working alongside people and Copperajah.",
527,V,Woobat,psychic,flying,Bat Pokémon,0.4,2.1,65,45,43,55,43,72,Unaware,Klutz,0,0,0,Woobat,Swoobat,,,,"While inside a cave, if you look up and see lots of heart-shaped marks lining the walls, it’s evidence that Woobat live there.",
528,V,Swoobat,psychic,flying,Courting Pokémon,0.9,10.5,67,57,55,77,55,114,Unaware,Klutz,0,0,0,Woobat,Swoobat,,,,"Emitting powerful sound waves tires it out. Afterward, it won’t be able to fly for a little while.",
529,V,Drilbur,ground,,Mole Pokémon,0.3,8.5,60,85,40,30,45,68,Sand Rush,Sand Force,0,0,0,Drilbur,Excadrill,,,,It brings its claws together and whirls around at high speed before rushing toward its prey.,
530,V,Excadrill,ground,steel,Subterrene Pokémon,0.7,40.4,110,135,60,50,65,88,Sand Rush,Sand Force,0,0,0,Drilbur,Excadrill,,,,It’s not uncommon for tunnels that appear to have formed naturally to actually be a result of Excadrill’s rampant digging.,
531,V,Audino,normal,,Hearing Pokémon,1.1,31,103,60,86,60,86,50,Healer,Regenerator,0,0,0,Audino,,,,Mega Audino,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.,
532,V,Timburr,fighting,,Muscular Pokémon,0.6,12.5,75,80,55,25,35,35,Guts,Sheer Force,0,0,0,Timburr,Gurdurr,Conkeldurr,,,"It loves helping out with construction projects. It loves it so much that if rain causes work to halt, it swings its log around and throws a tantrum.",
533,V,Gurdurr,fighting,,Muscular Pokémon,1.2,40,85,105,85,40,50,40,Guts,Sheer Force,0,0,0,Timburr,Gurdurr,Conkeldurr,,,"It shows off its muscles to Machoke and other Gurdurr. If it fails to measure up to the other Pokémon, it lies low for a little while.",
534,V,Conkeldurr,fighting,,Muscular Pokémon,1.4,87,105,140,95,55,65,45,Guts,Sheer Force,0,0,0,Timburr,Gurdurr,Conkeldurr,,,"Concrete mixed by Conkeldurr is much more durable than normal concrete, even when the compositions of the two materials are the same.",
535,V,Tympole,water,,Tadpole Pokémon,0.5,4.5,50,50,40,50,40,64,Swift Swim,Hydration,0,0,0,Tympole,Palpitoad,Seismitoad,,,Graceful ripples running across the water’s surface are a sure sign that Tympole are singing in high-pitched voices below.,
536,V,Palpitoad,water,ground,Vibration Pokémon,0.8,17,75,65,55,65,55,69,Swift Swim,Hydration,0,0,0,Tympole,Palpitoad,Seismitoad,,,"It weakens its prey with sound waves intense enough to cause headaches, then entangles them with its sticky tongue.",
537,V,Seismitoad,water,ground,Vibration Pokémon,1.5,62,105,95,75,85,75,74,Swift Swim,Poison Touch,0,0,0,Tympole,Palpitoad,Seismitoad,,,The vibrating of the bumps all over its body causes earthquake-like tremors. Seismitoad and Croagunk are similar species.,
538,V,Throh,fighting,,Judo Pokémon,1.3,55.5,120,100,85,30,85,45,Guts,Inner Focus,0,0,0,Throh,,,,,"It performs throwing moves with first-rate skill. Over the course of many battles, Throh’s belt grows darker as it absorbs its wearer’s sweat.",
539,V,Sawk,fighting,,Karate Pokémon,1.4,51,75,125,75,30,75,85,Sturdy,Inner Focus,0,0,0,Sawk,,,,,"If you see a Sawk training in the mountains in its single-minded pursuit of strength, it’s best to quietly pass by.",
540,V,Sewaddle,bug,grass,Sewing Pokémon,0.3,2.5,45,53,70,40,60,42,Swarm,Chlorophyll,0,0,0,Sewaddle,Swadloon,Leavanny,,,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.,
541,V,Swadloon,bug,grass,Leaf-Wrapped Pokémon,0.5,7.3,55,63,90,50,80,42,Leaf Guard,Chlorophyll,0,0,0,Sewaddle,Swadloon,Leavanny,,,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,
542,V,Leavanny,bug,grass,Nurturing Pokémon,1.2,20.5,75,103,80,70,80,92,Swarm,Chlorophyll,0,0,0,Sewaddle,Swadloon,Leavanny,,,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth.",
543,V,Venipede,bug,poison,Centipede Pokémon,0.4,5.3,30,45,59,30,39,57,Poison Point,Swarm,0,0,0,Venipede,Whirlipede,Scolipede,,,"Venipede and Sizzlipede are similar species, but when the two meet, a huge fight ensues.",
544,V,Whirlipede,bug,poison,Curlipede Pokémon,1.2,58.5,40,55,99,40,79,47,Poison Point,Swarm,0,0,0,Venipede,Whirlipede,Scolipede,,,This Pokémon spins itself rapidly and charges into its opponents. Its top speed is just over 60 mph.,
545,V,Scolipede,bug,poison,Megapede Pokémon,2.5,200.5,60,100,89,55,69,112,Poison Point,Swarm,0,0,0,Venipede,Whirlipede,Scolipede,,,Scolipede latches on to its prey with the claws on its neck before slamming them into the ground and jabbing them with its claws’ toxic spikes.,
546,V,Cottonee,grass,fairy,Cotton Puff Pokémon,0.3,0.6,40,27,60,37,50,66,Prankster,Infiltrator,0,0,0,Cottonee,Whimsicott,,,,"It shoots cotton from its body to protect itself. If it gets caught up in hurricane-strength winds, it can get sent to the other side of the Earth.",
547,V,Whimsicott,grass,fairy,Windveiled Pokémon,0.7,6.6,60,67,85,77,75,116,Prankster,Infiltrator,0,0,0,Cottonee,Whimsicott,,,,"It scatters cotton all over the place as a prank. If it gets wet, it’ll become too heavy to move and have no choice but to answer for its mischief.",
548,V,Petilil,grass,,Bulb Pokémon,0.5,6.6,45,35,50,70,50,30,Chlorophyll,Own Tempo,0,0,0,Petilil,Lilligant,,,,Petilil appears around sources of clean water. Boiling leaves from this Pokémon’s head results in a liquid that’s sometimes used as a bug repellent.,
549,V,Lilligant,grass,,Flowering Pokémon,1.1,16.3,70,60,75,110,75,90,Chlorophyll,Own Tempo,0,0,0,Petilil,Lilligant,,,,It’s believed that even first-rate gardeners have a hard time getting the flower on a Lilligant’s head to bloom.,
550,V,Basculin,water,,Hostile Pokémon,1,18,70,92,65,80,55,98,Reckless (Red-Striped Form),Rock Head (Blue-Striped Form),0,0,0,Basculin,,,,,Anglers love the fight this Pokémon puts up on the hook. And there are always more to catch— many people release them into lakes illicitly.,
551,V,Sandile,ground,dark,Desert Croc Pokémon,0.7,15.2,50,72,35,35,35,65,Intimidate,Moxie,0,0,0,Sandile,Krokorok,Krookodile,,,"The desert gets cold at night, so when the sun sets, this Pokémon burrows deep into the sand and sleeps until sunrise.",
552,V,Krokorok,ground,dark,Desert Croc Pokémon,1,33.4,60,82,45,45,45,74,Intimidate,Moxie,0,0,0,Sandile,Krokorok,Krookodile,,,Krokorok has specialized eyes that enable it to see in the dark. This ability lets Krokorok hunt in the dead of night without getting lost.,
553,V,Krookodile,ground,dark,Intimidation Pokémon,1.5,96.3,95,117,80,65,70,92,Intimidate,Moxie,0,0,0,Sandile,Krokorok,Krookodile,,,This Pokémon is known as the Bully of the Sands. Krookodile’s mighty jaws can bite through heavy plates of iron with almost no effort at all.,
554,V,Darumaka,fire,ice,Zen Charm Pokémon,0.6,37.5,70,90,45,15,45,50,Hustle,,0,0,0,Darumaka,Darmanitan,,,,"It derives its power from fire burning inside its body. If the fire dwindles, this Pokémon will immediately fall asleep.",
555,V,Darmanitan,fire,fire,Blazing Pokémon,1.3,92.9,105,140,55,30,55,95,Sheer Force,,0,0,0,Darumaka,Darmanitan,,,,The thick arms of this hot-blooded Pokémon can deliver punches capable of obliterating a dump truck.,
556,V,Maractus,grass,,Cactus Pokémon,1,28,75,86,67,106,67,60,Water Absorb,Chlorophyll,0,0,0,Maractus,,,,,"With noises that could be mistaken for the rattles of maracas, it creates an upbeat rhythm, startling bird Pokémon and making them fly off in a hurry.",
557,V,Dwebble,bug,rock,Rock Inn Pokémon,0.3,14.5,50,65,85,35,35,55,Sturdy,Shell Armor,0,0,0,Dwebble,Crustle,,,,"When it finds a stone appealing, it creates a hole inside it and uses it as its home. This Pokémon is the natural enemy of Roggenrola and Rolycoly.",
558,V,Crustle,bug,rock,Stone Home Pokémon,1.4,200,70,105,125,65,75,45,Sturdy,Shell Armor,0,0,0,Dwebble,Crustle,,,,This highly territorial Pokémon prefers dry climates. It won’t come out of its boulder on rainy days.,
559,V,Scraggy,dark,fighting,Shedding Pokémon,0.6,11.8,50,75,70,35,70,48,Shed Skin,Moxie,0,0,0,Scraggy,Scrafty,,,,"If it locks eyes with you, watch out! Nothing and no one is safe from the reckless headbutts of this troublesome Pokémon.",
560,V,Scrafty,dark,fighting,Hoodlum Pokémon,1.1,30,65,90,115,45,115,58,Shed Skin,Moxie,0,0,0,Scraggy,Scrafty,,,,"As halfhearted as this Pokémon’s kicks may seem, they pack enough power to shatter Conkeldurr’s concrete pillars.",
561,V,Sigilyph,psychic,flying,Avianoid Pokémon,1.4,14,72,58,80,103,80,97,Wonder Skin,Magic Guard,0,0,0,Sigilyph,,,,,Psychic power allows these Pokémon to fly. Some say they were the guardians of an ancient city. Others say they were the guardians’ emissaries.,
562,V,Yamask,ghost,ground,Spirit Pokémon,0.5,1.5,38,30,85,55,65,30,Mummy (Normal Forme),Wandering Spirit (Galarian Form),0,0,0,Yamask,Cofagrigus,,,,"It wanders through ruins by night, carrying a mask that’s said to have been the face it had when it was still human.",
563,V,Cofagrigus,ghost,,Coffin Pokémon,1.7,76.5,58,50,145,95,105,30,Mummy,,0,0,0,Yamask,Cofagrigus,,,,This Pokémon has a body of sparkling gold. People say it no longer remembers that it was once human.,
564,V,Tirtouga,water,rock,Prototurtle Pokémon,0.7,16.5,54,78,103,53,45,22,Solid Rock,Sturdy,0,0,0,Tirtouga,Carracosta,,,,"This Pokémon inhabited ancient seas. Although it can only crawl, it still comes up onto land in search of prey.",
565,V,Carracosta,water,rock,Prototurtle Pokémon,1.2,81,74,108,133,83,65,32,Solid Rock,Sturdy,0,0,0,Tirtouga,Carracosta,,,,"Carracosta completely devours its prey—bones, shells, and all. Because of this, Carracosta’s own shell grows thick and sturdy.",
566,V,Archen,rock,flying,First Bird Pokémon,0.5,9.5,55,112,45,74,45,70,Defeatist,,0,0,0,Archen,Archeops,,,,"This Pokémon was successfully restored from a fossil. As research suggested, Archen is unable to fly. But it’s very good at jumping.",
567,V,Archeops,rock,flying,First Bird Pokémon,1.4,32,75,140,65,112,65,110,Defeatist,,0,0,0,Archen,Archeops,,,,"It needs a running start to take off. If Archeops wants to fly, it first needs to run nearly 25 mph, building speed over a course of about 2.5 miles.",
568,V,Trubbish,poison,,Trash Bag Pokémon,0.6,31,50,50,62,40,62,65,Stench,Sticky Hold,0,0,0,Trubbish,Garbodor,,,,"Its favorite places are unsanitary ones. If you leave trash lying around, you could even find one of these Pokémon living in your room.",
569,V,Garbodor,poison,,Trash Heap Pokémon,1.9,107.3,80,95,82,60,82,75,Stench,Weak Armor,0,0,0,Trubbish,Garbodor,,,,"This Pokémon eats trash, which turns into poison inside its body. The main component of the poison depends on what sort of trash was eaten.",
570,V,Zorua,dark,,Tricky Fox Pokémon,0.7,12.5,40,65,40,80,40,65,Illusion,,0,0,0,Zorua,Zoroark,,,,Zorua is a timid Pokémon. This disposition seems to be what led to the development of Zorua’s ability to take on the forms of other creatures.,
571,V,Zoroark,dark,,Illusion Fox Pokémon,1.6,81.1,60,105,60,120,60,105,Illusion,,0,0,0,Zorua,Zoroark,,,,"This Pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe.",
572,V,Minccino,normal,,Chinchilla Pokémon,0.4,5.8,55,50,40,40,40,75,Cute Charm,Technician,0,0,0,Minccino,Cinccino,,,,The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle.,
573,V,Cinccino,normal,,Scarf Pokémon,0.5,7.5,75,95,60,65,60,115,Cute Charm,Technician,0,0,0,Minccino,Cinccino,,,,Its body secretes oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won’t tolerate even a speck of the stuff.,
574,V,Gothita,psychic,,Fixation Pokémon,0.4,5.8,45,30,50,55,65,45,Frisk,Competitive,0,0,0,Gothita,Gothorita,Gothitelle,,,"Though they’re still only babies, there’s psychic power stored in their ribbonlike feelers, and sometimes they use that power to fight.",
575,V,Gothorita,psychic,,Manipulate Pokémon,0.7,18,60,45,70,75,85,55,Frisk,Competitive,0,0,0,Gothita,Gothorita,Gothitelle,,,"It’s said that when stars shine in the night sky, this Pokémon will spirit away sleeping children. Some call it the Witch of Punishment.",
576,V,Gothitelle,psychic,,Astral Body Pokémon,1.5,44,70,55,95,95,110,65,Frisk,Competitive,0,0,0,Gothita,Gothorita,Gothitelle,,,"It has tremendous psychic power, but it dislikes conflict. It’s also able to predict the future based on the movement of the stars.",
577,V,Solosis,psychic,,Cell Pokémon,0.3,1,45,30,40,105,50,20,Overcoat,Magic Guard,0,0,0,Solosis,Duosion,Reuniclus,,,"It communicates with others telepathically. Its body is encapsulated in liquid, but if it takes a heavy blow, the liquid will leak out.",
578,V,Duosion,psychic,,Mitosis Pokémon,0.6,8,65,40,50,125,60,30,Overcoat,Magic Guard,0,0,0,Solosis,Duosion,Reuniclus,,,Its psychic power can supposedly cover a range of more than half a mile—but only if its two brains can agree with each other.,
579,V,Reuniclus,psychic,,Multiplying Pokémon,1,20.1,110,65,75,125,85,30,Overcoat,Magic Guard,0,0,0,Solosis,Duosion,Reuniclus,,,"While it could use its psychic abilities in battle, this Pokémon prefers to swing its powerful arms around to beat opponents into submission.",
580,V,Ducklett,water,flying,Water Bird Pokémon,0.5,5.5,62,44,50,44,50,55,Keen Eye,Big Pecks,0,0,0,Ducklett,Swanna,,,,"When attacked, it uses its feathers to splash water, escaping under cover of the spray.",
581,V,Swanna,water,flying,White Bird Pokémon,1.3,24.2,75,87,63,87,63,98,Keen Eye,Big Pecks,0,0,0,Ducklett,Swanna,,,,"Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles.",
582,V,Vanillite,ice,,Fresh Snow Pokémon,0.4,5.7,36,50,50,65,60,44,Ice Body,Snow Cloak,0,0,0,Vanillite,Vanillish,Vanilluxe,,,"Unable to survive in hot areas, it makes itself comfortable by breathing out air cold enough to cause snow. It burrows into the snow to sleep.",
583,V,Vanillish,ice,,Icy Snow Pokémon,1.1,41,51,65,65,80,75,59,Ice Body,Snow Cloak,0,0,0,Vanillite,Vanillish,Vanilluxe,,,"By drinking pure water, it grows its icy body. This Pokémon can be hard to find on days with warm, sunny weather.",
584,V,Vanilluxe,ice,,Snowstorm Pokémon,1.3,57.5,71,95,85,110,95,79,Ice Body,Snow Warning,0,0,0,Vanillite,Vanillish,Vanilluxe,,,"When its anger reaches a breaking point, this Pokémon unleashes a fierce blizzard that freezes every creature around it, be they friend or foe.",
585,V,Deerling,normal,grass,Season Pokémon,0.6,19.5,60,60,50,40,50,75,Chlorophyll,Sap Sipper,0,0,0,Deerling,Sawsbuck,,,,Their coloring changes according to the seasons and can be slightly affected by the temperature and humidity as well.,
586,V,Sawsbuck,normal,grass,Season Pokémon,1.9,92.5,80,100,70,60,70,95,Chlorophyll,Sap Sipper,0,0,0,Deerling,Sawsbuck,,,,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.,
587,V,Emolga,electric,flying,Sky Squirrel Pokémon,0.4,5,55,75,60,75,60,103,Static,,0,0,0,Emolga,,,,,"As Emolga flutters through the air, it crackles with electricity. This Pokémon is cute, but it can cause a lot of trouble.",
